station_id,num_bikes_available,vehicle_types_available,is_installed,is_renting,is_returning,last_reported,timestamp
CAB:Station:958219cd-8009-45b6-8a04-1cc4ae763307,5,"[{'vehicle_type_id': 'CAB:VehicleType:d17550f3-d48a-3c00-8e70-cfd6532fa159', 'count': 1}, {'vehicle_type_id': 'CAB:VehicleType:5263df72-c83b-315d-abe3-441ed2488fe0', 'count': 4}, {'vehicle_type_id': 'CAB:VehicleType:29500795-9382-33b4-bee5-6504909518eb', 'count': 0}]",True,True,True,1709636456,2024-03-05 12:03:15.830426
CAB:Station:69a20737-5c07-4ab4-ad8a-4fcba602ef6b,3,"[{'vehicle_type_id': 'CAB:VehicleType:29500795-9382-33b4-bee5-6504909518eb', 'count': 3}]",True,True,True,1709636456,2024-03-05 12:03:15.830426
CAB:Station:59830a25-c7c6-4c9b-af21-0b67c836ba8f,6,"[{'vehicle_type_id': 'CAB:VehicleType:29500795-9382-33b4-bee5-6504909518eb', 'count': 6}]",True,True,True,1709636457,2024-03-05 12:03:15.830426
CAB:Station:36fe6a30-d53e-4aa8-863d-e21e80fd1d0b,5,"[{'vehicle_type_id': 'CAB:VehicleType:29500795-9382-33b4-bee5-6504909518eb', 'count': 5}]",True,True,True,1709636457,2024-03-05 12:03:15.830426
CAB:Station:ca41b63e-9046-442f-880e-d0e9186e507a,0,"[{'vehicle_type_id': 'CAB:VehicleType:29500795-9382-33b4-bee5-6504909518eb', 'count': 0}]",True,True,True,1709636457,2024-03-05 12:03:15.830426
CAB:Station:714932fd-4836-4a2a-9a19-07a6d694274c,7,"[{'vehicle_type_id': 'CAB:VehicleType:5263df72-c83b-315d-abe3-441ed2488fe0', 'count': 3}, {'vehicle_type_id': 'CAB:VehicleType:29500795-9382-33b4-bee5-6504909518eb', 'count': 4}]",True,True,True,1709636457,2024-03-05 12:03:15.830426
CAB:Station:7046d131-47fd-40bd-ba63-f52590d2ee8f,2,"[{'vehicle_type_id': 'CAB:VehicleType:29500795-9382-33b4-bee5-6504909518eb', 'count': 2}]",True,True,True,1709636457,2024-03-05 12:03:15.830426
CAB:Station:e375c577-ca9b-4f3d-b052-582f4eeeb0a8,2,"[{'vehicle_type_id': 'CAB:VehicleType:29500795-9382-33b4-bee5-6504909518eb', 'count': 2}]",True,True,True,1709636457,2024-03-05 12:03:15.830426
CAB:Station:f384359e-349d-47cf-aec3-031f20b8e0a0,2,"[{'vehicle_type_id': 'CAB:VehicleType:5263df72-c83b-315d-abe3-441ed2488fe0', 'count': 2}, {'vehicle_type_id': 'CAB:VehicleType:29500795-9382-33b4-bee5-6504909518eb', 'count': 0}]",True,True,True,1709636457,2024-03-05 12:03:15.830426
CAB:Station:e73ff873-8f43-41b4-868a-2d3e00f2cfbb,2,"[{'vehicle_type_id': 'CAB:VehicleType:29500795-9382-33b4-bee5-6504909518eb', 'count': 2}]",True,True,True,1709636457,2024-03-05 12:03:15.830426
CAB:Station:c070e40c-98f6-45d6-9543-90ceceef63af,8,"[{'vehicle_type_id': 'CAB:VehicleType:29500795-9382-33b4-bee5-6504909518eb', 'count': 8}]",True,True,True,1709636457,2024-03-05 12:03:15.830426
CAB:Station:2263b695-db35-4bbf-b70a-032920fadf3f,2,"[{'vehicle_type_id': 'CAB:VehicleType:5263df72-c83b-315d-abe3-441ed2488fe0', 'count': 2}, {'vehicle_type_id': 'CAB:VehicleType:29500795-9382-33b4-bee5-6504909518eb', 'count': 0}]",True,True,True,1709636457,2024-03-05 12:03:15.830426
CAB:Station:be796eb3-49af-494c-b3f0-dc1f0132eb7d,2,"[{'vehicle_type_id': 'CAB:VehicleType:d17550f3-d48a-3c00-8e70-cfd6532fa159', 'count': 1}, {'vehicle_type_id': 'CAB:VehicleType:5263df72-c83b-315d-abe3-441ed2488fe0', 'count': 1}, {'vehicle_type_id': 'CAB:VehicleType:29500795-9382-33b4-bee5-6504909518eb', 'count': 0}]",True,True,True,1709636457,2024-03-05 12:03:15.830426
CAB:Station:b207ab7a-f23d-40f8-aa26-5d02077fc6f9,2,"[{'vehicle_type_id': 'CAB:VehicleType:5263df72-c83b-315d-abe3-441ed2488fe0', 'count': 1}, {'vehicle_type_id': 'CAB:VehicleType:29500795-9382-33b4-bee5-6504909518eb', 'count': 1}]",True,True,True,1709636457,2024-03-05 12:03:15.830426
